,Usuario,Tweet
177,Patrici85627920,"@fabioferrer @horaciorlarreta Lo que hizo Larreta con Libertador es una mierda,si pasan 100 bicicletas por día es m… https://t.co/wCwV4Vop4Q"
178,adalozzo,"RT @ezequielmauro: ATENCIÓN: Se definen los 34 precandidatos de Listas Abiertas del PRO porteño. De 16400 inscriptos, quedaron 400 y en dos…"
179,FabianaPaino,"RT @Doctor_Soto: Hace 8 años que la Corte autorizó el uso de las Taser, pero Larreta recién “se animó” a implementarlas el año pasado. Qué…"
180,IsaNogu90282642,@marcelogioffre @lorenroth3 es boludo larreta ¡qué caso serio!ENCIMA ¡CON LA NUESTRA!
181,jonatanlagier,"@HerreroAdam Jxk es funcional al kirchnerismo, fijate como vota en el congreso  deja de ser necio. T pensas q larre… https://t.co/f8eenRNAkF"
182,maxi_10359,"RT @fcolombo2104201: @FerIglesias @mauriciomacri @HoracioLarreta Que pena, yo la bancaba  un monton a Silvia y a Waldo. Que buena imagen te…"
183,Eli957,RT @GustavoPeirano1: Y AHORA...OTRA MUERTE MAS EN LA CABA FEMICIDIO EN LA 1 11 14  DE BARRACAS EN LA CABA ASESINADA DE 2 TIROS EN EL PECHO…
184,Its_BraianBitch,RT @intisumaj2: El impresentable de Ricardo López Murphy llora por el gasto en Corsos de la Ciudad. Pero no lo vi decir nada por los más de…
185,newsjunkieww3,"@mgrealpolitik @horaciorlarreta Andate a yankeelandia. Nunca lo votaría a Larreta, pero las bicisendas salvan vidas."
186,newmamboys,"RT @Tobileesch: Aviso: a los que sigo y sistemáticamente atacan a Larreta clavo unfollow, mi candidata es Pato Bullrich pero que se hagan l…"
187,normarandrada,RT @GustavoPeirano1: Y AHORA...OTRA MUERTE MAS EN LA CABA FEMICIDIO EN LA 1 11 14  DE BARRACAS EN LA CABA ASESINADA DE 2 TIROS EN EL PECHO…
188,alfill555,RT @RAMIROMARRA: Los feriados de carnaval son un exceso al ocio inventandos por los kirchneristas  y complementados por Larreta financiando…
189,AlejavierLucero,@PepeGilVidal950 @DoctorMeechum @JMilei Hay uno solo que falta a la verdad aca y no se lo vamos a permitir.https://t.co/zvBOXMucOH
190,elmalambo,"RT @naucitoh: pelea con facas, Boulogne Sur Mer y Corrientes, Balvanera, les pido encarecidamente que piensen bien antes de votar a Larreta…"
191,LucelitaStella,@PatoBullrich @trebuquero Larreta volcó hace rato y derrapó…Es tan tan 🤬 capas que dice que no …
192,Sunflow36360782,Q intensas están las larreta girls...
193,elmalambo,"RT @GustavoPeirano1: ""SOMOS LA CIUDAD MAS SEGURA DE LATAM""CACHAFAZ LARRETA EN TODO SU ESPLE DOR👇👇👇👇👇👇👇👇"
194,mariafa2017,"@MacaAfri @BertieTheBrain @FelipeMiguelBA @Palmeoficial sino esta Macri ni Bullrich, obvio voto a Larreta.Pero des… https://t.co/iITK88onNi"
