,Unnamed: 0,Usuario,Tweet
178,178,Lea_A_Gimenez,@p_justicialista @CFKArgentina Gracias Cristina gracias FMI por tan lindo ajuste peronista. Hoy todos a la calle a… https://t.co/HNHnEsRFej
179,179,lina317,RT @PatoBullrich: Con diputados nacionales presentamos en Tribunales una denuncia criminal contra el presidente Alberto Fernández la vicep…
180,180,3du4r2,@CFKArgentina @pagina12 Que nota mas acertada y cuanta verdad en cada detalle. Solo hay que apelar a la memoria po… https://t.co/vQbrA1YpoO
181,181,Azucena67015389,Pablo Iglesias… no estarás pensando en hacer Ministra a Cristina Kichner porque ya sabemos lo que pasa contigo…👍👍 https://t.co/IMVx828kLW
182,182,pampa1962,"RT @Paulapalermo07: En casa de Cristina...ESTAN GRABANDO A LOS COMPAS...A TODOS... A q les hace acordar estos ""métodos""?🤔Piden DNI...…"
183,183,Jorgelina1969,RT @PatoBullrich: Con diputados nacionales presentamos en Tribunales una denuncia criminal contra el presidente Alberto Fernández la vicep…
184,184,gerardo71984563,RT @MaximoKirchner_: ¡Hoy a las 15 hs #TodosAParqueLezama! A Cristina la defiende el pueblo 🇦🇷☀️ https://t.co/9nqOIv9t4e
185,185,mabelmartik,La Vicepresidenta de La Nación Argentina está secuestrada en su domicilio porque el intenducho de la cdad estableci… https://t.co/3CGqEmjxGe
186,186,Leonor38556523,"RT @Paulapalermo07: En casa de Cristina...ESTAN GRABANDO A LOS COMPAS...A TODOS... A q les hace acordar estos ""métodos""?🤔Piden DNI...…"
187,187,Frabru,RT @soyladeltango: Para qué ponen vallas en la casa de Cristina? Es lógico que la gente se va a ir allá les está saliendo al revés burros
