,Usuario,Tweet
164,llanurad7,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
165,Yasmina61968982,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
166,gloriamor30,RT @ReporteYa: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitencia d…
167,evlyn_gr,RT @ReporteYa: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitencia d…
168,jupiterxc,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
169,AponteJannet,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
170,xvenezuelaya,RT @ReporteYa: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitencia d…
171,yeiferreira,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
172,SylviaCeciliaN1,RT @Maru72639791: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitenci…
173,MARAMEN2015,RT @ReporteYa: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitencia d…
174,Marumaru98,RT @Maru72639791: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitenci…
175,Marumaru98,"RT @lisgasia: @CorpoelecInfo @mppeevzla 27-02-2023  #SINLUZ  desde las 7:58 pm, CONJ RSD EL PARAISO (LOS VERDES) Nic 100000118176.2 Tlf. 04…"
176,johanpereira03,RT @Maru72639791: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitenci…
177,alesito_17,RT @ReporteYa: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitencia d…
178,papatakisluna,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
179,ercoto,"RT @RCR750: #SinLuz zonas de El Paraiso, Caracas."
180,larakatherine17,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
